t=2025-11-28T17:47:12-0500 lvl=info msg="no configuration paths supplied"
t=2025-11-28T17:47:12-0500 lvl=info msg="using configuration at default config path" path="/Users/bigdaddy/Library/Application Support/ngrok/ngrok.yml"
t=2025-11-28T17:47:12-0500 lvl=info msg="open config file" path="/Users/bigdaddy/Library/Application Support/ngrok/ngrok.yml" err=nil
t=2025-11-28T17:56:06-0500 lvl=info msg="join connections" obj=join id=49d26f0570a8 l=[::1]:3050 r=99.131.53.219:52610
t=2025-11-28T17:56:06-0500 lvl=info msg="join connections" obj=join id=7b6487a2205c l=[::1]:3050 r=99.131.53.219:52610
t=2025-11-28T17:56:07-0500 lvl=info msg="join connections" obj=join id=040c0cea8468 l=[::1]:3050 r=99.131.53.219:52784
t=2025-11-28T17:56:54-0500 lvl=info msg="join connections" obj=join id=ae5fcf5b4921 l=[::1]:3050 r=99.131.53.219:52610
t=2025-11-28T18:04:35-0500 lvl=info msg="join connections" obj=join id=d4d225152d4d l=[::1]:3050 r=99.131.53.219:52977
t=2025-11-28T18:04:38-0500 lvl=info msg="join connections" obj=join id=bab27f2f0317 l=[::1]:3050 r=99.131.53.219:52977
t=2025-11-28T18:04:38-0500 lvl=info msg="join connections" obj=join id=5192351226d0 l=[::1]:3050 r=99.131.53.219:52977
t=2025-11-28T18:04:38-0500 lvl=info msg="join connections" obj=join id=e1955bd1bc31 l=[::1]:3050 r=99.131.53.219:52977
t=2025-11-28T18:04:38-0500 lvl=info msg="join connections" obj=join id=72dfb8b4bcd6 l=[::1]:3050 r=99.131.53.219:52977
t=2025-11-28T18:04:38-0500 lvl=info msg="join connections" obj=join id=f62b33b92c6b l=[::1]:3050 r=99.131.53.219:52977
t=2025-11-28T18:04:38-0500 lvl=info msg="join connections" obj=join id=b88ff25c8069 l=[::1]:3050 r=99.131.53.219:52977
t=2025-11-28T18:04:38-0500 lvl=info msg="join connections" obj=join id=5b8cf47d5536 l=[::1]:3050 r=99.131.53.219:52977
